season,player_display_name,recent_team,feature,shap_value
2011,Kyle Orton,KC,passing_yards,-0.6003198
2011,Matt Flynn,GB,passing_yards,-0.8080244
2011,Jake Locker,TEN,passing_yards,-0.59780407
2011,Matt Hasselbeck,TEN,passing_yards,-0.47867364
2011,Chad Henne,MIA,passing_yards,-0.56684226
2011,Dan Orlovsky,IND,passing_yards,-0.6085467
2011,Jay Cutler,CHI,passing_yards,-0.6595815
2011,Matt Moore,MIA,passing_yards,-0.6236262
2011,Colin Kaepernick,SF,passing_yards,-0.7474805
2011,Andy Dalton,CIN,passing_yards,-0.50562257
2011,Shaun Hill,DET,passing_yards,-0.657994
2011,Joe Webb,MIN,passing_yards,-0.5779784
2011,Jon Kitna,DAL,passing_yards,-0.64414114
2011,Charlie Batch,PIT,passing_yards,-0.66306204
2011,Mark Brunell,NYJ,passing_yards,-0.6030865
2011,Tyrod Taylor,BAL,passing_yards,-0.7044603
2011,Brian Hoyer,NE,passing_yards,-0.7888788
2011,Jake Delhomme,HOU,passing_yards,-0.6205047
2011,Josh McCown,CHI,passing_yards,-0.60128117
2011,Matt Leinart,HOU,passing_yards,-0.657994
2011,Tom Brandstater,LA,passing_yards,-0.6030865
2011,Chase Daniel,NO,passing_yards,-0.7888788
2011,Mike Kafka,PHI,passing_yards,-0.650494
2011,T.J. Yates,HOU,passing_yards,-0.6097621
2011,Ryan Fitzpatrick,BUF,passing_yards,0.07665402
2011,Josh Freeman,TB,passing_yards,-0.45470712
2011,Mark Sanchez,NYJ,passing_yards,-0.47188854
2011,Colt McCoy,CLE,passing_yards,-0.4733303
2011,Rex Grossman,WAS,passing_yards,-0.5078724
2011,Tarvaris Jackson,SEA,passing_yards,-0.5133326
2011,Blaine Gabbert,JAX,passing_yards,-0.5078724
2011,Sam Bradford,LA,passing_yards,-0.6497795
2011,Christian Ponder,MIN,passing_yards,-0.44967455
2011,John Skelton,ARI,passing_yards,-0.48395604
2011,Tim Tebow,DEN,passing_yards,-0.5389898
2011,Matt Cassel,KC,passing_yards,-0.5972262
2011,Kevin Kolb,ARI,passing_yards,-0.63566524
2011,Curtis Painter,IND,passing_yards,-0.6003198
2011,Donovan McNabb,MIN,passing_yards,-0.59780407
2011,Tyler Palko,KC,passing_yards,-0.6128885
2011,John Beck,WAS,passing_yards,-0.591734
2011,Ray Rice,BAL,passing_yards,-0.61673474
2011,Maurice Jones-Drew,JAX,passing_yards,-0.53399026
2011,Arian Foster,HOU,passing_yards,-0.5176916
2011,Calvin Johnson,DET,passing_yards,-0.5933119
2011,LeSean McCoy,PHI,passing_yards,-0.4266806
2011,Wes Welker,NE,passing_yards,-0.72574794
2011,Ryan Mathews,LAC,passing_yards,-0.51890075
2011,Victor Cruz,NYG,passing_yards,-0.5813539
2011,Michael Turner,ATL,passing_yards,-0.52651846
2011,Matt Forte,CHI,passing_yards,-0.5554724
2011,Steven Jackson,LA,passing_yards,-0.5438024
2011,Chris Johnson,TEN,passing_yards,-0.55262923
2011,Steve Smith,CAR,passing_yards,-0.5760715
2011,Marshawn Lynch,SEA,passing_yards,-0.51554596
2011,Larry Fitzgerald,ARI,passing_yards,-0.5813539
2011,Michael Bush,LV,passing_yards,-0.53399026
2011,Reggie Bush,MIA,passing_yards,-0.53399026
2011,Fred Jackson,BUF,passing_yards,-0.51890075
2011,Rob Gronkowski,NE,passing_yards,-0.72574794
2011,Frank Gore,SF,passing_yards,-0.7192639
2011,Darren Sproles,NO,passing_yards,-0.65221334
2011,Percy Harvin,MIN,passing_yards,-0.5605739
2011,Jimmy Graham,NO,passing_yards,-0.72574794
2011,Roddy White,ATL,passing_yards,-0.5933119
2011,Shonn Greene,NYJ,passing_yards,-0.55262923
2011,Jordy Nelson,GB,passing_yards,-0.72574794
2011,Marques Colston,NO,passing_yards,-0.72574794
2011,Malcom Floyd,LAC,passing_yards,-0.5813539
2011,Mike Wallace,PIT,passing_yards,-0.63604695
2011,Greg Jennings,GB,passing_yards,-0.72574794
2011,Antonio Brown,PIT,passing_yards,-0.64132935
2011,Antonio Gates,LAC,passing_yards,-0.5813539
2011,Lance Moore,NO,passing_yards,-0.72574794
