season,player_display_name,recent_team,shap_passing_yards,shap_passing_tds,shap_passing_interceptions,shap_passing_epa,shap_passing_cpoe,shap_rushing_yards,shap_rushing_tds,shap_rushing_epa,shap_receiving_yards,shap_receiving_tds,shap_receiving_epa,shap_win_pct
2010,Kellen Clemens,NYJ,-0.6293998,-1.1257383,0.44086817,-0.55788004,-0.84186476,-0.44924492,-0.19377007,-0.76675826,-0.0113498755,-0.019677045,0.06831151,-0.6219913
2010,Colt McCoy,CLE,-0.59336936,-1.0426241,-0.14519022,-0.58996505,-0.8433038,0.05927745,-0.15537402,-0.86345065,0.013216473,-0.019677045,-0.35821706,-1.043298
2010,Chase Daniel,NO,-0.6293998,-1.1257383,0.44086817,-0.54560465,-0.8152753,-0.44924492,-0.19377007,-0.7436927,-0.0113498755,-0.019677045,0.06831151,-0.6113998
2010,Mark Brunell,NYJ,-0.63486,-1.1355553,0.44553095,-0.56275815,-0.9656461,-0.4164967,-0.19377007,-0.75725657,-0.0113498755,-0.019677045,0.06831151,-0.6241974
2010,Jordan Palmer,CIN,-0.646036,-1.1625714,0.4893202,-0.6446302,0.11650034,-0.39194226,-0.1579277,-0.6499589,-0.0113498755,-0.010636212,0.06151677,-1.1677693
2010,Matthew Stafford,DET,-0.6030865,-1.1303812,0.42090002,-0.5476323,-0.79481345,-0.41676158,-0.18876912,-0.7600475,-0.0113498755,-0.019677045,0.058967978,-1.1074069
2010,Josh Johnson,TB,-0.6527116,-1.131808,0.5060383,-0.6429926,0.1332443,-0.48188993,-0.16292866,-0.5714446,-0.0113498755,-0.010636212,0.084656246,-0.7251348
2010,Levi Brown,BUF,-0.646036,-1.1625714,0.4893202,-0.6446302,0.11650034,-0.39194226,-0.1579277,-0.6499589,-0.0113498755,-0.010636212,0.06151677,-1.1677693
2010,Charlie Batch,PIT,-0.66852224,-1.3004229,0.44575682,-0.6697205,-1.0955783,-0.39920914,-0.19326915,-0.74747545,-0.0113498755,-0.019677045,0.08594384,0.13494024
2010,Sam Bradford,LA,-0.5078724,-0.8802186,-1.1017201,-0.49008843,-0.68415284,-0.5338419,-0.16879232,-0.56551164,-0.0113498755,-0.019677045,0.040280506,-0.976734
