season,player_name,position,recent_team
2015,D.Martin,RB,TB
2015,D.McFadden,RB,DAL
2015,E.Manning,QB,NYG
2015,J.Cutler,QB,CHI
2015,J.Flacco,QB,BAL
2015,J.Jones,WR,ATL
2015,J.Winston,QB,TB
2015,K.Cousins,QB,WAS
2015,M.Mariota,QB,TEN
2015,M.Ryan,QB,ATL
2015,M.Stafford,QB,DET
2015,O.Beckham Jr.,WR,NYG
2015,P.Rivers,QB,LAC
2015,R.Fitzpatrick,QB,NYJ
2015,R.Tannehill,QB,MIA
2015,R.Wilson,QB,SEA
2015,S.Bradford,QB,PHI
2015,T.Brady,QB,NE
2015,T.Bridgewater,QB,MIN
2015,T.Taylor,QB,BUF
2016,A.Dalton,QB,CIN
2016,A.Luck,QB,IND
2016,A.Rodgers,QB,GB
2016,A.Smith,QB,KC
2016,B.Bortles,QB,JAX
2016,B.Osweiler,QB,HOU
2016,B.Roethlisberger,QB,PIT
2016,C.Newton,QB,CAR
2016,C.Palmer,QB,ARI
2016,C.Wentz,QB,PHI
2016,D.Brees,QB,NO
2016,D.Carr,QB,LV
2016,D.Freeman,RB,ATL
2016,D.Johnson,RB,ARI
2016,D.Murray,RB,TEN
2016,D.Prescott,QB,DAL
2016,E.Elliott,RB,DAL
2016,E.Manning,QB,NYG
2016,J.Ajayi,RB,MIA
2016,J.Flacco,QB,BAL
2016,J.Howard,RB,CHI
2016,J.Winston,QB,TB
2016,K.Cousins,QB,WAS
2016,L.Bell,RB,PIT
2016,L.McCoy,RB,BUF
2016,M.Gordon,RB,LAC
2016,M.Mariota,QB,TEN
2016,M.Ryan,QB,ATL
2016,M.Stafford,QB,DET
2016,P.Rivers,QB,LAC
2016,R.Wilson,QB,SEA
2016,S.Bradford,QB,MIN
2016,T.Hilton,WR,IND
2016,T.Siemian,QB,DEN
2016,T.Taylor,QB,BUF
2017,A.Brown,WR,PIT
2017,A.Dalton,QB,CIN
2017,A.Kamara,RB,NO
2017,A.Smith,QB,KC
2017,B.Bortles,QB,JAX
2017,B.Roethlisberger,QB,PIT
2017,C.Keenum,QB,MIN
2017,C.Newton,QB,CAR
2017,C.Wentz,QB,PHI
2017,D.Brees,QB,NO
2017,D.Carr,QB,LV
2017,D.Kizer,QB,CLE
2017,D.Prescott,QB,DAL
2017,E.Manning,QB,NYG
2017,J.Brissett,QB,IND
2017,J.Cutler,QB,MIA
2017,J.Flacco,QB,BAL
2017,J.Goff,QB,LA
2017,J.Winston,QB,TB
2017,Ju.Jones,WR,ATL
2017,K.Allen,WR,LAC
2017,K.Cousins,QB,WAS
2017,K.Hunt,RB,KC
2017,L.Bell,RB,PIT
2017,L.McCoy,RB,BUF
2017,M.Gordon,RB,LAC
2017,M.Ingram,RB,NO
2017,M.Mariota,QB,TEN
2017,M.Ryan,QB,ATL
2017,M.Stafford,QB,DET
2017,P.Rivers,QB,LAC
2017,R.Wilson,QB,SEA
2017,T.Brady,QB,NE
2017,T.Gurley,RB,LA
2017,T.Taylor,QB,BUF
2018,A.Kamara,RB,NO
2018,A.Luck,QB,IND
2018,A.Rodgers,QB,GB
2018,B.Bortles,QB,JAX
2018,B.Mayfield,QB,CLE
2018,B.Roethlisberger,QB,PIT
2018,C.Keenum,QB,DEN
2018,C.McCaffrey,RB,CAR
2018,C.Newton,QB,CAR
2018,C.Wentz,QB,PHI
2018,D.Brees,QB,NO
2018,D.Carr,QB,LV
2018,D.Hopkins,WR,HOU
2018,D.Prescott,QB,DAL
2018,D.Watson,QB,HOU
2018,E.Elliott,RB,DAL
2018,E.Manning,QB,NYG
2018,J.Conner,RB,PIT
2018,J.Flacco,QB,BAL
2018,J.Goff,QB,LA
2018,J.Jones,WR,ATL
2018,J.Rosen,QB,ARI
2018,K.Cousins,QB,MIN
2018,M.Evans,WR,TB
2018,M.Ryan,QB,ATL
2018,M.Stafford,QB,DET
2018,M.Trubisky,QB,CHI
2018,P.Mahomes,QB,KC
2018,P.Rivers,QB,LAC
2018,R.Wilson,QB,SEA
2018,S.Barkley,RB,NYG
2018,S.Darnold,QB,NYJ
2018,T.Brady,QB,NE
2018,T.Gurley,RB,LA
2018,T.Hill,WR,KC
2019,A.Dalton,QB,CIN
2019,A.Ekeler,RB,LAC
2019,A.Jones,RB,GB
2019,A.Rodgers,QB,GB
2019,B.Mayfield,QB,CLE
2019,C.Carson,RB,SEA
2019,C.McCaffrey,RB,CAR
2019,C.Wentz,QB,PHI
2019,D.Carr,QB,LV
2019,D.Cook,RB,MIN
2019,D.Henry,RB,TEN
2019,D.Jones,QB,NYG
2019,D.Prescott,QB,DAL
2019,D.Watson,QB,HOU
2019,E.Elliott,RB,DAL
2019,G.Minshew II,QB,JAX
2019,J.Allen,QB,BUF
2019,J.Brissett,QB,IND
2019,J.Garoppolo,QB,SF
2019,J.Goff,QB,LA
2019,J.Winston,QB,TB
2019,K.Allen,QB,CAR
2019,K.Cousins,QB,MIN
2019,K.Murray,QB,ARI
2019,L.Fournette,RB,JAX
